Organization,Device,Group,Activity,Description,User,Date
Hospitality,FITNESS-FD,Hardware,User Account Logged In,"User logged in: 'RF\fitness2', Logged in time: '2025-07-28T11:12:09Z'",,2025-07-28T11:12:09.000+0000
Slifer,2-1238,Software,Software Updated,"Software updated: 'Microsoft.MicrosoftOfficeHub', Version: '19.2507.56041.0', User: '<System>'",,2025-07-28T11:12:29.000+0000
Hospitality,MOWWESTIN1,OS Patching,OS Patching Apply Patch Complete,Patch management update is complete.,,2025-07-28T11:13:12.000+0000
Hospitality,TECHDISPLAY1,OS Patching,OS Patching Apply Patch Started,Patch management update has started.,,2025-07-28T11:13:10.000+0000
Hospitality,3-1809,Software Patching,Software Patch Apply Patch Complete,Patch management apply patch completed. Successful: 0 Failed: 1,,2025-07-28T11:13:10.869+0000
Hospitality,3-1720,OS Patching,OS Patching Apply Patch Started,Patch management update has started.,,2025-07-28T11:13:08.000+0000
Hospitality,3-1785,OS Patching,OS Patching Apply Patch Started,Patch management update has started.,,2025-07-28T11:13:06.981+0000
Slifer,Rick Pirog Laptop,OS Patching,OS Patching Warning,Patch management update scheduled for 2025-07-29T11:00:00Z was canceled because another update is already running.,,2025-07-28T11:13:03.000+0000
Hospitality,3-2128,OS Patching,OS Patching Apply Patch Started,Patch management update has started.,,2025-07-28T11:13:03.000+0000
Hospitality,VSNO-FDRIGHT,OS Patching,OS Patching Failure,"Patch management update FAILED to complete. ERROR: Patch management update FAILED to complete. Error:[-3005 Windows communication error, Find failed when performing missing patch search] [Windows error code: 0x80240438, description: There is no route or network connectivity to the endpoint.] ",,2025-07-28T11:12:17.000+0000
Slifer,2-1247,OS Patching,OS Patching Apply Patch Started,Patch management update has started.,,2025-07-28T11:10:42.000+0000
Hospitality,3-2501,OS Patching,OS Patching Apply Patch Started,Patch management update has started.,,2025-07-28T11:13:02.000+0000
Slifer,STEAMBOATCONF,OS Patching,OS Patching Apply Patch Started,Patch management update has started.,,2025-07-28T11:13:02.104+0000
Hospitality,3-1250,OS Patching,OS Patching Apply Patch Started,Patch management update has started.,,2025-07-28T11:13:01.907+0000
Hospitality,3-1236,OS Patching,OS Patching Apply Patch Started,Patch management update has started.,,2025-07-28T11:13:01.000+0000
Hospitality,3-2033,OS Patching,OS Patching Apply Patch Started,Patch management update has started.,,2025-07-28T11:13:01.000+0000
Slifer,LGARDNER-2-1315,OS Patching,OS Patching Apply Patch Started,Patch management update has started.,,2025-07-28T11:13:01.885+0000
Hospitality,3-1603,OS Patching,OS Patching Apply Patch Started,Patch management update has started.,,2025-07-28T11:13:01.000+0000
Hospitality,3-1356,OS Patching,OS Patching Apply Patch Started,Patch management update has started.,,2025-07-28T11:13:01.000+0000
Hospitality,3-1618,OS Patching,OS Patching Apply Patch Started,Patch management update has started.,,2025-07-28T11:13:00.000+0000
Hospitality,3-1692,OS Patching,OS Patching Apply Patch Started,Patch management update has started.,,2025-07-28T11:13:00.000+0000
Slifer,SSF Snowmass Wall Display,OS Patching,OS Patching Apply Patch Complete,Patch management update is complete.,,2025-07-28T11:12:50.000+0000
Hospitality,3-2513,OS Patching,OS Patching Apply Patch Complete,Patch management update is complete.,,2025-07-28T11:12:45.000+0000
Slifer,2-1495,OS Patching,OS Patching Warning,Patch management update scheduled for 2025-07-29T11:00:00Z was canceled because another update is already running.,,2025-07-28T11:12:03.000+0000
Hospitality,3-1903,OS Patching,OS Patching Apply Patch Complete,"Patch management update FAILED to complete. ERROR: Patch management update FAILED to complete. Error:[-3005 Windows communication error, Find failed when performing missing patch search] [Windows error code: 0x80240438, description: There is no route or network connectivity to the endpoint.] ",,2025-07-28T11:12:07.000+0000
Hospitality,3-1998,OS Patching,OS Patching Apply Patch Complete,Patch management update is complete.,,2025-07-28T11:12:38.000+0000
Hospitality,3-1949,OS Patching,OS Patching Apply Patch Complete,Patch management update is complete.,,2025-07-28T11:12:38.000+0000
Hospitality,3-1475,OS Patching,OS Patching Failure,"Patch management update FAILED to complete. ERROR: Patch management update FAILED to complete. Error:[-3005 Windows communication error, Find failed when performing missing patch search] [Windows error code: 0x80240438, description: There is no route or network connectivity to the endpoint.] ",,2025-07-28T11:11:46.000+0000
