Organization,Device,Group,Activity,Description,User,Date
Hospitality,3-1655,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-24T22:59:49.000+0000
Hospitality,3-1655,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-24T22:58:59.000+0000
Hospitality,3-1655,Hardware,Network Adapter Added,"Network Adapter added: 'Realtek USB GbE Family Controller', MacAddress: 'AC:91:A1:94:E0:4C', IPAddress: '10.0.20.123;fe80::ab68:633b:1067:33e5', InstallDate: '2025-07-24T22:56:43Z'",,2025-07-24T22:56:43.000+0000
Hospitality,3-1655,Hardware,Network Adapter Status Changed,Network Adapter Status changed:  InterfaceName : 'Intel(R) Wi-Fi 6E AX211 160MHz' InterfaceIndex : 12 Status changed : 'Up' -> 'Down',,2025-07-24T22:19:42.000+0000
Hospitality,3-1655,Hardware,Network Adapter Deleted,"Network Adapter removed: 'Realtek USB GbE Family Controller #2', MacAddress: 'AC:91:A1:94:E0:4C', IPAddress: '169.254.247.244;fe80::ab68:633b:1067:33e5'",,2025-07-24T22:19:42.000+0000
Hospitality,3-1655,Hardware,Network Adapter Added,"Network Adapter added: 'Microsoft Wi-Fi Direct Virtual Adapter #4', MacAddress: '9A:59:7A:AD:BA:BF', IPAddress: '169.254.83.185;fe80::cd77:16ed:b5cb:a897', InstallDate: '2025-07-24T20:42:39Z'",,2025-07-24T20:42:39.000+0000
Hospitality,3-1655,Software,Software Updated,"Software updated: 'Microsoft.OneDriveSync', Version: '25127.701.6.0', User: '<System>'",,2025-07-24T20:37:42.000+0000
Hospitality,3-1655,Software,Software Updated,"Software updated: 'Microsoft OneDrive', Version: '25.127.0701.0006', User: '<System>'",,2025-07-24T20:37:42.000+0000
Hospitality,3-1655,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-24T20:34:51.000+0000
Hospitality,3-1655,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-24T20:33:08.000+0000
Hospitality,3-1655,Hardware,Rebooted,System rebooted at '2025-07-24T20:29:41Z',,2025-07-24T20:31:47.000+0000
Hospitality,3-1655,Hardware,Network Adapter Deleted,"Network Adapter removed: 'Microsoft Wi-Fi Direct Virtual Adapter #4', MacAddress: '9A:59:7A:AD:BA:BF', IPAddress: '169.254.83.185;fe80::cd77:16ed:b5cb:a897'",,2025-07-24T20:31:48.000+0000
Hospitality,3-1655,Hardware,User Account Logged In,"User logged in: 'EW\afigueroa', Logged in time: '2025-07-24T20:31:34Z'",,2025-07-24T20:31:33.000+0000
Hospitality,3-1655,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-24T19:34:17.000+0000
Hospitality,3-1655,OS Patching,OS Patching Scan Complete,Patch management scan is complete.,,2025-07-24T19:34:17.000+0000
Hospitality,3-1655,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-24T19:30:03.000+0000
Hospitality,3-1655,OS Patching,OS Patching Scan Started,Patch management scan has started.,,2025-07-24T19:30:03.000+0000
Hospitality,3-1655,Software,Software Updated,"Software updated: 'Microsoft.Windows.Photos', Version: '2025.11070.8001.0', User: '<System>'",,2025-07-24T19:07:14.000+0000
Hospitality,3-1655,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-24T15:24:43.000+0000
Hospitality,3-1655,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-24T15:24:02.000+0000
Hospitality,3-1655,Hardware,Network Adapter Status Changed,Network Adapter Status changed:  InterfaceName : 'Intel(R) Wi-Fi 6E AX211 160MHz' InterfaceIndex : 12 Status changed : 'Down' -> 'Up',,2025-07-24T15:23:04.000+0000
Hospitality,3-1655,Hardware,Network Adapter Added,"Network Adapter added: 'Realtek USB GbE Family Controller #2', MacAddress: 'AC:91:A1:94:E0:4C', IPAddress: '169.254.247.244;fe80::ab68:633b:1067:33e5', InstallDate: '2025-07-24T15:23:04Z'",,2025-07-24T15:23:04.000+0000
Hospitality,3-1655,Hardware,Network Adapter Status Changed,Network Adapter Status changed:  InterfaceName : 'Intel(R) Wi-Fi 6E AX211 160MHz' InterfaceIndex : 12 Status changed : 'Up' -> 'Down',,2025-07-24T14:47:53.000+0000
Hospitality,3-1655,Software,Software Updated,"Software updated: 'Microsoft.OutlookForWindows', Version: '1.2025.716.500', User: '<System>'",,2025-07-24T14:12:55.000+0000
Hospitality,3-1655,Hardware,Network Adapter Status Changed,Network Adapter Status changed:  InterfaceName : 'Intel(R) Wi-Fi 6E AX211 160MHz' InterfaceIndex : 12 Status changed : 'Down' -> 'Up',,2025-07-24T14:07:51.000+0000
Hospitality,3-1655,Hardware,Network Adapter Deleted,"Network Adapter removed: 'Realtek USB GbE Family Controller', MacAddress: 'AC:91:A1:94:E0:4C', IPAddress: '10.0.20.123;fe80::ab68:633b:1067:33e5'",,2025-07-24T14:07:51.000+0000
Hospitality,3-1655,Software,Software Updated,"Software updated: 'MicrosoftWindows.CrossDevice', Version: '1.25062.30.0', User: '<System>'",,2025-07-24T14:04:54.000+0000
Hospitality,3-1655,OS Patching,OS Patching Apply Patch Complete,Patch management update is complete.,,2025-07-24T12:17:27.000+0000
Hospitality,3-1655,OS Patching,OS Patching Apply Patch Started,Patch management update has started.,,2025-07-24T12:13:01.000+0000
Hospitality,3-1655,Software Patching,Software Patch Apply Patch Complete,Patch management apply patch completed. Successful: 1 Failed: 0,,2025-07-24T12:07:15.000+0000
Hospitality,3-1655,Software,Software Updated,"Software updated: 'Google Chrome', Version: '138.0.7204.169', User: '<System>'",,2025-07-24T12:04:43.000+0000
Hospitality,3-1655,OS Patching,OS Patching Information,"Patch management update will start in 0 hour(s), 13 minute(s).",,2025-07-24T12:00:00.000+0000
Hospitality,3-1655,Software Patching,Software Patch Apply Patch Started,Patch management apply patch started,,2025-07-24T12:00:01.000+0000
Hospitality,3-1655,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-23T15:34:05.000+0000
Hospitality,3-1655,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-23T15:33:20.000+0000
Hospitality,3-1655,OS Patching,OS Patching Apply Patch Complete,Patch management update is complete.,,2025-07-23T12:18:56.000+0000
